[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#119] 2.525-2.525: YC 164594KB->164633KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#120] 2.525-2.526: YC 164658KB->164697KB (233632KB), 0.001 s, sum of pauses 0.851 ms, longest pause 0.851 ms.
[INFO ][memory ] [YC#121] 2.526-2.528: YC 164722KB->164825KB (233632KB), 0.001 s, sum of pauses 1.040 ms, longest pause 1.040 ms.
[INFO ][memory ] [YC#122] 2.528-2.529: YC 164850KB->164889KB (233632KB), 0.001 s, sum of pauses 1.009 ms, longest pause 1.009 ms.
[INFO ][memory ] [YC#123] 2.529-2.529: YC 164914KB->164953KB (233632KB), 0.001 s, sum of pauses 0.602 ms, longest pause 0.602 ms.
[INFO ][memory ] [YC#124] 2.530-2.530: YC 164978KB->165017KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#125] 2.530-2.531: YC 165042KB->165081KB (233632KB), 0.001 s, sum of pauses 0.595 ms, longest pause 0.595 ms.
[INFO ][memory ] [YC#126] 2.531-2.532: YC 165106KB->165145KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#127] 2.532-2.532: YC 165170KB->165209KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#128] 2.533-2.533: YC 165234KB->165273KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#129] 2.533-2.534: YC 165298KB->165337KB (233632KB), 0.001 s, sum of pauses 0.808 ms, longest pause 0.808 ms.
[INFO ][memory ] [YC#130] 2.534-2.535: YC 165362KB->165401KB (233632KB), 0.001 s, sum of pauses 0.685 ms, longest pause 0.685 ms.
