[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#63] 1.666-1.667: YC 160620KB->160659KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#64] 1.667-1.668: YC 160684KB->160723KB (233624KB), 0.001 s, sum of pauses 0.709 ms, longest pause 0.709 ms.
[INFO ][memory ] [YC#65] 1.668-1.668: YC 160748KB->160787KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#66] 1.668-1.669: YC 160812KB->160851KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#67] 1.669-1.670: YC 160876KB->160915KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#68] 1.670-1.670: YC 160940KB->160979KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#69] 1.670-1.671: YC 161004KB->161043KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#70] 1.671-1.672: YC 161068KB->161107KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#71] 1.672-1.672: YC 161132KB->161171KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#72] 1.672-1.673: YC 161196KB->161235KB (233624KB), 0.001 s, sum of pauses 0.606 ms, longest pause 0.606 ms.
[INFO ][memory ] [YC#73] 1.673-1.674: YC 161260KB->161299KB (233624KB), 0.001 s, sum of pauses 0.608 ms, longest pause 0.608 ms.
[INFO ][memory ] [YC#74] 1.674-1.675: YC 161324KB->161363KB (233624KB), 0.001 s, sum of pauses 0.921 ms, longest pause 0.921 ms.
[INFO ][memory ] [YC#75] 1.675-1.676: YC 161388KB->161427KB (233624KB), 0.001 s, sum of pauses 1.060 ms, longest pause 1.060 ms.
[INFO ][memory ] [YC#76] 1.676-1.677: YC 161452KB->161491KB (233624KB), 0.001 s, sum of pauses 0.918 ms, longest pause 0.918 ms.
[INFO ][memory ] [YC#77] 1.677-1.678: YC 161516KB->161555KB (233624KB), 0.001 s, sum of pauses 0.917 ms, longest pause 0.917 ms.
[INFO ][memory ] [YC#78] 1.678-1.679: YC 161580KB->161619KB (233624KB), 0.001 s, sum of pauses 0.921 ms, longest pause 0.921 ms.
[INFO ][memory ] [YC#79] 1.679-1.680: YC 161644KB->161683KB (233624KB), 0.001 s, sum of pauses 0.916 ms, longest pause 0.916 ms.
[INFO ][memory ] [YC#80] 1.680-1.681: YC 161708KB->161747KB (233624KB), 0.001 s, sum of pauses 0.918 ms, longest pause 0.918 ms.
[INFO ][memory ] [YC#81] 1.681-1.682: YC 161772KB->161811KB (233624KB), 0.001 s, sum of pauses 0.923 ms, longest pause 0.923 ms.
[INFO ][memory ] [YC#82] 1.683-1.683: YC 161836KB->161875KB (233624KB), 0.001 s, sum of pauses 0.660 ms, longest pause 0.660 ms.
[INFO ][memory ] [YC#83] 1.683-1.684: YC 161900KB->161939KB (233624KB), 0.001 s, sum of pauses 0.678 ms, longest pause 0.678 ms.
[INFO ][memory ] [YC#84] 1.684-1.685: YC 161964KB->162003KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#85] 1.685-1.686: YC 162028KB->162067KB (233624KB), 0.001 s, sum of pauses 1.037 ms, longest pause 1.037 ms.
[INFO ][memory ] [YC#86] 1.686-1.687: YC 162092KB->162131KB (233624KB), 0.001 s, sum of pauses 0.915 ms, longest pause 0.915 ms.
[INFO ][memory ] [YC#87] 1.687-1.688: YC 162156KB->162195KB (233624KB), 0.001 s, sum of pauses 0.911 ms, longest pause 0.911 ms.
[INFO ][memory ] [YC#88] 1.688-1.689: YC 162220KB->162259KB (233624KB), 0.001 s, sum of pauses 1.288 ms, longest pause 1.288 ms.
[INFO ][memory ] [YC#89] 1.689-1.690: YC 162284KB->162323KB (233624KB), 0.001 s, sum of pauses 0.957 ms, longest pause 0.957 ms.
[INFO ][memory ] [YC#90] 1.691-1.696: YC 162348KB->162387KB (233624KB), 0.006 s, sum of pauses 5.831 ms, longest pause 5.831 ms.
[INFO ][memory ] [YC#91] 1.697-1.697: YC 162412KB->162451KB (233624KB), 0.001 s, sum of pauses 0.543 ms, longest pause 0.543 ms.
[INFO ][memory ] [YC#92] 1.697-1.698: YC 162476KB->162515KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#93] 1.698-1.698: YC 162540KB->162579KB (233624KB), 0.001 s, sum of pauses 0.526 ms, longest pause 0.526 ms.
[INFO ][memory ] [YC#94] 1.699-1.699: YC 162604KB->162643KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#95] 1.699-1.701: YC 162668KB->162707KB (233624KB), 0.001 s, sum of pauses 1.314 ms, longest pause 1.314 ms.
[INFO ][memory ] [YC#96] 1.701-1.702: YC 162732KB->162771KB (233624KB), 0.001 s, sum of pauses 0.911 ms, longest pause 0.911 ms.
[INFO ][memory ] [YC#97] 1.702-1.703: YC 162796KB->162835KB (233624KB), 0.001 s, sum of pauses 0.893 ms, longest pause 0.893 ms.
[INFO ][memory ] [YC#98] 1.703-1.703: YC 162860KB->162899KB (233624KB), 0.001 s, sum of pauses 0.559 ms, longest pause 0.559 ms.
[INFO ][memory ] [YC#99] 1.703-1.704: YC 162924KB->162963KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#100] 1.704-1.705: YC 162988KB->163027KB (233624KB), 0.001 s, sum of pauses 0.550 ms, longest pause 0.550 ms.
[INFO ][memory ] [YC#101] 1.705-1.706: YC 163052KB->163091KB (233624KB), 0.001 s, sum of pauses 1.314 ms, longest pause 1.314 ms.
[INFO ][memory ] [YC#102] 1.706-1.712: YC 163116KB->163155KB (233624KB), 0.006 s, sum of pauses 6.116 ms, longest pause 6.116 ms.
[INFO ][memory ] [YC#103] 1.713-1.714: YC 163180KB->163219KB (233624KB), 0.001 s, sum of pauses 0.959 ms, longest pause 0.959 ms.
[INFO ][memory ] [YC#104] 1.714-1.715: YC 163244KB->163283KB (233624KB), 0.001 s, sum of pauses 1.375 ms, longest pause 1.375 ms.
[INFO ][memory ] [YC#105] 1.715-1.716: YC 163308KB->163347KB (233624KB), 0.001 s, sum of pauses 1.026 ms, longest pause 1.026 ms.
[INFO ][memory ] [YC#106] 1.716-1.717: YC 163372KB->163411KB (233624KB), 0.001 s, sum of pauses 0.915 ms, longest pause 0.915 ms.
[INFO ][memory ] [YC#107] 1.717-1.718: YC 163436KB->163475KB (233624KB), 0.001 s, sum of pauses 0.912 ms, longest pause 0.912 ms.
[INFO ][memory ] [YC#108] 1.718-1.719: YC 163500KB->163539KB (233624KB), 0.001 s, sum of pauses 0.929 ms, longest pause 0.929 ms.
[INFO ][memory ] [YC#109] 1.720-1.720: YC 163564KB->163603KB (233624KB), 0.001 s, sum of pauses 0.651 ms, longest pause 0.651 ms.
[INFO ][memory ] [YC#110] 1.720-1.721: YC 163628KB->163667KB (233624KB), 0.001 s, sum of pauses 0.912 ms, longest pause 0.912 ms.
[INFO ][memory ] [YC#111] 1.721-1.723: YC 163692KB->163731KB (233624KB), 0.001 s, sum of pauses 1.250 ms, longest pause 1.250 ms.
[INFO ][memory ] [YC#112] 1.723-1.724: YC 163756KB->163795KB (233624KB), 0.001 s, sum of pauses 1.080 ms, longest pause 1.080 ms.
[INFO ][memory ] [YC#113] 1.724-1.725: YC 163820KB->163859KB (233624KB), 0.001 s, sum of pauses 1.066 ms, longest pause 1.066 ms.
[INFO ][memory ] [YC#114] 1.725-1.726: YC 163884KB->163923KB (233624KB), 0.001 s, sum of pauses 0.937 ms, longest pause 0.937 ms.
[INFO ][memory ] [YC#115] 1.726-1.727: YC 163948KB->163987KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#116] 1.727-1.727: YC 164012KB->164051KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#117] 1.728-1.728: YC 164076KB->164115KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#118] 1.728-1.729: YC 164140KB->164243KB (233624KB), 0.001 s, sum of pauses 0.550 ms, longest pause 0.550 ms.
[INFO ][memory ] [YC#119] 1.729-1.729: YC 164268KB->164307KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#120] 1.730-1.730: YC 164332KB->164371KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#121] 1.730-1.731: YC 164396KB->164435KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#122] 1.731-1.732: YC 164460KB->164499KB (233624KB), 0.001 s, sum of pauses 0.886 ms, longest pause 0.886 ms.
[INFO ][memory ] [YC#123] 1.732-1.732: YC 164524KB->164563KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#124] 1.733-1.733: YC 164588KB->164627KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#125] 1.733-1.734: YC 164652KB->164691KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#126] 1.734-1.734: YC 164716KB->164755KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#127] 1.735-1.735: YC 164780KB->164819KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#128] 1.735-1.736: YC 164844KB->164883KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#129] 1.736-1.736: YC 164908KB->164947KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#130] 1.737-1.737: YC 164972KB->165011KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#131] 1.737-1.738: YC 165036KB->165075KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#132] 1.738-1.738: YC 165100KB->165139KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#133] 1.739-1.739: YC 165164KB->165203KB (233624KB), 0.001 s, sum of pauses 0.888 ms, longest pause 0.888 ms.
[INFO ][memory ] [YC#134] 1.740-1.741: YC 165228KB->165267KB (233624KB), 0.001 s, sum of pauses 0.942 ms, longest pause 0.942 ms.
[INFO ][memory ] [YC#135] 1.741-1.742: YC 165292KB->165331KB (233624KB), 0.001 s, sum of pauses 0.915 ms, longest pause 0.915 ms.
