[INFO ][memory ] Running with 32 bit heap and compressed references.
[INFO ][memory ] GC mode: Static, strategy: Generational Parallel Mark & Sweep
[INFO ][memory ] heap size: 65540K, maximal heap size: 2097152K, nursery size: 32770K
[INFO ][memory ] <s>-<end>: GC <before>K-><after>K (<heap>K), <pause> ms
[INFO ][memory ] <s/start> - start time of collection (seconds since jvm start)
[INFO ][memory ] <end>     - end time of collection (seconds since jvm start)
[INFO ][memory ] <before>  - memory used by objects before collection (KB)
[INFO ][memory ] <after>   - memory used by objects after collection (KB)
[INFO ][memory ] <heap>    - size of heap after collection (KB)
[INFO ][memory ] <pause>   - total sum of pauses during collection (milliseconds)
[INFO ][memory ]             run with -Xverbose:gcpause to see individual pauses
[INFO ][memory ] 1.481: parallel nursery GC 168913K->168941K (221792K), 0.866 ms
[INFO ][memory ] 1.482: parallel nursery GC 168977K->169005K (221792K), 0.716 ms
[INFO ][memory ] 1.483: parallel nursery GC 169041K->169069K (221792K), 0.676 ms
[INFO ][memory ] 1.484: parallel nursery GC 169105K->169133K (221792K), 0.673 ms
[INFO ][memory ] 1.484: parallel nursery GC 169169K->169197K (221792K), 0.673 ms
[INFO ][memory ] 1.485: parallel nursery GC 169233K->169261K (221792K), 0.675 ms
[INFO ][memory ] 1.486: parallel nursery GC 169297K->169325K (221792K), 0.674 ms
[INFO ][memory ] 1.487: parallel nursery GC 169361K->169389K (221792K), 0.676 ms
[INFO ][memory ] 1.487: parallel nursery GC 169425K->169453K (221792K), 0.902 ms
[INFO ][memory ] 1.488: parallel nursery GC 169489K->169517K (221792K), 0.702 ms
[INFO ][memory ] 1.489: parallel nursery GC 169553K->169581K (221792K), 0.704 ms
[INFO ][memory ] 1.490: parallel nursery GC 169617K->169645K (221792K), 1.036 ms
[INFO ][memory ] 1.491: parallel nursery GC 169681K->169709K (221792K), 1.043 ms
[INFO ][memory ] 1.492: parallel nursery GC 169745K->169773K (221792K), 0.826 ms
[INFO ][memory ] 1.493: parallel nursery GC 169809K->169837K (221792K), 0.688 ms
[INFO ][memory ] 1.494: parallel nursery GC 169873K->169901K (221792K), 0.680 ms
[INFO ][memory ] 1.495: parallel nursery GC 169937K->169965K (221792K), 0.677 ms
[INFO ][memory ] 1.495: parallel nursery GC 170001K->170029K (221792K), 0.680 ms
[INFO ][memory ] 1.496: parallel nursery GC 170065K->170093K (221792K), 0.674 ms
[INFO ][memory ] 1.497: parallel nursery GC 170129K->170157K (221792K), 0.864 ms
[INFO ][memory ] 1.498: parallel nursery GC 170193K->170221K (221792K), 0.774 ms
[INFO ][memory ] 1.499: parallel nursery GC 170257K->170285K (221792K), 0.692 ms
[INFO ][memory ] 1.499: parallel nursery GC 170321K->170349K (221792K), 0.671 ms
[INFO ][memory ] 1.500: parallel nursery GC 170385K->170413K (221792K), 0.679 ms
[INFO ][memory ] 1.501: parallel nursery GC 170449K->170477K (221792K), 0.685 ms
[INFO ][memory ] 1.502: parallel nursery GC 170513K->170541K (221792K), 0.664 ms
[INFO ][memory ] 1.503: parallel nursery GC 170577K->170669K (221792K), 0.641 ms
[INFO ][memory ] 1.503: parallel nursery GC 170705K->170733K (221792K), 0.677 ms
[INFO ][memory ] 1.504: parallel nursery GC 170769K->170797K (221792K), 0.823 ms
[INFO ][memory ] 1.505: parallel nursery GC 170833K->170861K (221792K), 0.688 ms
[INFO ][memory ] 1.506: parallel nursery GC 170897K->170925K (221792K), 1.101 ms
[INFO ][memory ] 1.507: parallel nursery GC 170961K->170989K (221792K), 1.158 ms
[INFO ][memory ] 1.508: parallel nursery GC 171025K->171053K (221792K), 1.183 ms
[INFO ][memory ] 1.509: parallel nursery GC 171089K->171117K (221792K), 1.062 ms
[INFO ][memory ] 1.511: parallel nursery GC 171153K->171181K (221792K), 1.050 ms
[INFO ][memory ] 1.512: parallel nursery GC 171217K->171245K (221792K), 1.031 ms
[INFO ][memory ] 1.513: parallel nursery GC 171281K->171309K (221792K), 0.837 ms
